video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"AFb1RqwUa24","와우!…'기생충' 오스카 휩쓸때 할리우드 스타들 표정 모음  / 연합뉴스 (Yonhapnews)","2020-02-10T08:31:48.000Z","UCj3_t5p4L4aFsvdW3uHjnnw","연합뉴스 Yonhapnews","25","20.10.02","연합뉴스|yonhapnews|뉴스|영상|이슈|디지털|news|화제|기생충|오스카|parasite|hollywood|oscar|할리우드|표벙|표종|표정|봉준호","1342754","14547","226","1570","https://i.ytimg.com/vi/AFb1RqwUa24/default.jpg","False","False","#기생충 #봉준호 #산드라_오 #마틴_스콜세지 #제인_폰다 #오스카 #아카데미 #4관왕 #곽신애 #바른손 #이미경 #CJ(서울=연합뉴스) 9일(현지시간) 미국 로스앤젤레스에서 열린 제92회 아카데미 시상식에서 봉준호 감독이 '언어의 장벽'과 백인 중심의 오스카 역사를 딛고 영화 '기생충'으로 작품상을 비롯해 4관왕을 거머쥐었는데요.     아카데미 수상은 101년 한국 영화 역사상 처음이며, 92년 아카데미 역사도 바꿔놓았습니다.     영상으로 보시죠.     편집 : 이혜림    영상 : 로이터◆ 연합뉴스 유튜브  : https://www.youtube.com/yonhap◆ 연합뉴스 홈페이지→ http://www.yna.co.kr/◆ 연합뉴스 페이스북→ https://www.facebook.com/yonhap/◆ 연합뉴스 인스타 : https://goo.gl/UbqiQb◆ 연합뉴스 비디오메타 채널https://www.youtube.com/channel/UCTMCrbtHU0M0SR6TuBrL4Pw"
"-92oih-ksMI","헐리우드 스타들 감동시킨 봉준호 감독의 감동 수상 소감ㅠ [아카데미 작품상 수상 수상]","2020-02-10T08:00:26.000Z","UC1aS5CRRDrN6CmR2VcpmetA","한국일보(hankookilbo.com)","25","20.10.02","봉준호|기생충|아카데미|마틴스콜세지|작품상|각본상|감독상","739137","8315","185","937","https://i.ytimg.com/vi/-92oih-ksMI/default.jpg","False","False","헐리우드 스타들 감동시킨 봉준호 감독의 감동 수상 소감ㅠ [아카데미 작품상 수상 수상]CLIP COURTESY A.M.P.A.S. 2020"
"JCJmnHNdh1w","(어그로X) 게렌이 유튜브 채널이 정지당했습니다..다른 유튜버들도 조심하세요","2020-02-10T07:00:00.000Z","UCta_NRwnsUaew0t3VNxBNyg","김재원의 즐거운게임 세상","20","20.10.02","김재원|김재원 게렌|김재원 정지|김재원 게렌 정지|김재원 게렌 채널|김재원 게렌 해킹|게렌|게렌 해킹|게렌 정지|게렌 채널|게렌 유튜브|유튜브 정지|유튜브 해킹","645982","15532","432","5033","https://i.ytimg.com/vi/JCJmnHNdh1w/default.jpg","False","False","재미있게 보셧나용김재원 방송 https://www.twitch.tv/jaewon4915김재원 메일 wodnjs2601@naver.com구독 눌러주시고 알람해주시면더 빠르게 제영상을 보실수있당가요"
"VwUogneo5s8","[몰래카메라] 아빠한테 롤스로이스 사준다고 속이기","2020-02-09T10:00:11.000Z","UCMVC92EOs9yDJG5JS-CMesQ","양팡 YangPang","23","20.10.02","양팡|양팡유튜브|팡튜브|가족시트콤|양팡가족|양팡가족시트콤|양팡언니|현실남매|현실자매|짬식이|브이로그|VLog|먹방|부산|부산유튜버","1795979","30681","2201","3047","https://i.ytimg.com/vi/VwUogneo5s8/default.jpg","False","False","구독하기 : https://goo.gl/4JUQn2스폰문의 : eunz1nara@gmail.com무삭제 풀버전 채널 : https://goo.gl/NjeAzk- http://bit.ly/yangpang : 양팡 아프리카TV 개인방송국- http://bit.ly/pangtube : 양팡 YouTube 채널- http://bit.ly/pangstargram : 양팡 공식 인스타그램- http://bit.ly/pangsbook : 양팡 공식 페이스북좋아요 구독 많이 부탁드립니다업로드 시간은 랜덤입니다!"
"e_Aj-5wVWaA","[이슈 완전정복] 기생충, 美 아카데미 작품·감독상 등 4관왕 '쾌거' (2020.02.10/뉴스외전/MBC)","2020-02-10T06:32:19.000Z","UCF4Wxdo3inmxP-Y59wXDsFw","MBCNEWS","25","20.10.02","MBC|MBC뉴스|뉴스데스크|newsdesk|뉴스투데이|newstoday|8시뉴스|아침뉴스|뉴스|정오뉴스|news|기생충|아카데미|오스카|작품상|감독상|각본상|국제영화상","381639","5075","172","719","https://i.ytimg.com/vi/e_Aj-5wVWaA/default.jpg","False","False","▶ '기생충' 아카데미 작품상·감독상·각본상·국제영화상 4관왕▶ 비영어 영화 '각본상', '기생충'이 역대 6번째▶ 국제영화상·작품상 동시 수상은 최초https://imnews.imbc.com/replay/2020/nw1400/article/5659287_32503.html#오스카 #작품상 #감독상"
"mXJ7o_MYRKw","드디어 밝혀진 구구쌤의 비밀  (feat. 구구샘 살인마되다 2탄)","2020-02-09T00:51:59.000Z","UCJundLkbjldzL60kFfKm1vQ","급식왕","23","20.10.02","급식왕|두더지|발가락쌤|징징이|방울이|학교|웃긴영상|재밌는영상|학교영상|꽁트|콩트|시트콤|드라마|영웅|원더우먼|히어로|밍꼬발랄|보물섬|더블비|도티|어벤저스|개그|꿀잼|흔한남매","1130814","19338","1644","5401","https://i.ytimg.com/vi/mXJ7o_MYRKw/default.jpg","False","False","#구구샘 #살인범 #비밀비즈니스 메일 E-MAIL(BUSINESS) : schoolfoodking@sandboxnetwork.net급식게임즈 채널 링크https://www.youtube.com/channel/UCCWHOI_Xth7mINE98Nprz6A급식걸즈 채널 링크https://www.youtube.com/channel/UCGS6cF75ZieNdszK_3BrQZQ급식왕과 소통하실 분들은 인스타 https://www.instagram.com/schoolfoodking/틱톡 아이디 schoolfoodkinghttp://vt.tiktok.com/d69rtD/ 페이스북https://www.facebook.com/profile.php?id=100040932466628"
"VL4RtsssRis","어떤 극한의 상황에서도 살아남아라!!! 하늘 나는거 실화야??ㅋㅋ끈질긴생명력","2020-02-10T10:30:12.000Z","UCyCL5k8P1iUOc1EymhhMW1A","더블비","20","20.10.02","A3|에이쓰리스틸얼라이브|30인배틀로얄|보물섬|웃긴영상|재밌는영상|하면하지|자연재해|태풍|플라이스테이션|용인애버랜드|산사태|리신|김병만|베어그릴스|파쿠르|파쿠르 경찰과도둑","547153","11960","790","4398","https://i.ytimg.com/vi/VL4RtsssRis/default.jpg","False","False","#English #facebook #youtube장명준.. 난 10배로 갚는다 조만간 무인도에 버려줄게^^  A3사전 등록하기▶ https://a3.netmarble.com/prejoin #A3: 스틸얼라이브 #A3: STILL ALIVE #A3 #스틸얼라이브 #사전등록이 영상은 넷마블의 지원을 받아 제작 되었습니다"
"QurVkDi0naE","[단독] 펭수 속세와 인연접어 자연으로 떠난 사연은?!","2020-02-10T08:20:03.000Z","UCtckgmUcpzqGnzcs7xEqMzQ","자이언트 펭TV","15","20.10.02","펭수|자이언트펭|펭TV|자연인 펭수|자연펭|나는자연펭이다|자연인 패러디|자이언트펭TV|구독|좋아요|추천|정형석 성우|정형석|형석","679406","35441","352","5347","https://i.ytimg.com/vi/QurVkDi0naE/default.jpg","False","False","'속세'를 떠난 자연펭의 기.절.초.풍 사연지금 공개합니다 :D※ 실제 아님 주의 ※[MUSIC INFO]1. Main Title_이윤정_선덕여왕 OST2. 꽃_이승환3. 당황스러운 경향이_Various Artists_그녀는 예뻤다 OST4. 경합_이필호_식객 OST5. Speak Out_Various Artists_쌈, 마이웨이 OST6. 서울, 이곳은_장철웅그 외 MODOOCOM"
"6TNwie4PtKU","[#시베리아선발대] Oh my god... '기생충' 배우를 실제로 본 외국인들의 반응! 오스카 4관왕, 대스타 이선균 클라스🏆 | #Diggle","2020-02-10T08:00:05.000Z","UCsRIHt5FkbGc6cQtCxt-ufA","tvN D ENT","24","20.10.02","tvN|diggle|tvN 예능|시베리아 선발대|이선균|김남길|이상엽|고규필|김민식|시베리아 횡단열차|블라디보스톡|전혜진|기생충|이선균 연기|이선균 조여정|이선균 아이유|나의 아저씨|parasite|시베리아 선발대 장나라|시베리아 선발대 다시보기|시베리아 선발대 1화|시베리아 선발대 라이브|시베리아 선발대 노래|봉준호|기생충 상|이선균 성대모사|기생충 명장면|기생충 통역|김남길 키스신|시베리아 브이로그|여락이들|기생충 동익|parasite actor|러시아 여행|부산행|차붐|칸 기생충|아카데미 시상식","621555","0","0","551","https://i.ytimg.com/vi/6TNwie4PtKU/default.jpg","False","True","#시베리아선발대 #DiggleOh my god... '기생충' 배우를 실제로 본 외국인들의 반응! 오스카 4관왕, 대스타 이선균 클라스🏆 Let′s giggle, :Diggle!더 많은 꿀잼 영상은? :arrow_forward:? tvN D CLASSIC : https://bit.ly/2KT666f"
"0lLyxbNtUPg","한재인, 이 남자 대체 누구야? [엑스엑스(XX)] - 특별편","2020-02-10T10:00:08.000Z","UCid83oPnsL-4ZEo8CyQr6Rg","플레이리스트","24","20.10.02","연플리|연애|드라마|웹드라마|연애플레이리스트|플레이리스트|플레이리스트스튜디오|강윤|박정우|이종원|니어리스트벗로스트|니어리스트|엑스엑스|왕정든","497701","13135","76","1120","https://i.ytimg.com/vi/0lLyxbNtUPg/default.jpg","False","False","나보다 내 여친 취향 잘 아는 남자 ㄷㄷ...이 남자 대체 누구야 재인아ㅠㅠㅠㅠㅠㅠ3:26 윤이 이렇게 질투하는 거 처음 봄🤭윤이가 구매한 향수, 궁금하다면 요기로! 👉 http://bit.ly/2Sh9rO5VLIVE & YouTube 수, 목 저녁 7시 MBC 금요일 밤 12시 50분한재인, 이 남자 대체 누구야? [엑스엑스(XX)] - 특별편❤️플레이리스트 채널을 구독해주세요! 👉 https://goo.gl/df5FYf매주 수, 목 / 토, 일 저녁 7시에 업로드됩니다!구독, 댓글, 좋아요 잊지 말기👼❤️Instagram: https://www.instagram.com/playlist_studio❤️Facebook: http://www.facebook.com/PlayListKR❤️V Live : http://channels.vlive.tv/DEF407/video❤️Naver TV: http://tv.naver.com/playlist❤️Store: https://playliststore.com"
